,isbn,title,author,pub_year,publisher,categories,description
12,0446310786,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company,Fiction,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature."
13,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books,History,"The author retraces the amazing journey of Seabiscuit, a horse with crooked legs and a pathetic tail that nevertheless made racing history in 1938, thanks to the efforts of a trainer, an owner, and a jockey who transformed a bottom-level racehorse into a legend. Reader's Guide included. Reprint."
14,0060168013,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins,Fiction,"When Turtle witnesses a freak accident at the Hoover Dam, her mother responds and a man's life is saved, but their lives are changed by the incident. By the author of Animal Dreams. 100,000 first printing. $125,000 ad/promo. Tour."
15,0061099686,Downtown,Anne Rivers Siddons,1995.0,HarperTorch,Fiction,"The year is 1966, a time of innocence, possibility, and freedom. And for Atlanta, the country, and one woman making her way in a changing world, nothing will be the same . . . After an airless childhood in Savannah, Smoky O'Donnell arrives in Atlanta, dazzled and chastened by this hectic young city on the rise. Her new job as a writer with the city's Downtown magazine introduces her to many unforgettable people and propels her into the center of momentous events that will irrevocably alter her heart, her career, and her world."
16,0553582909,Icebound,Dean R. Koontz,2000.0,Bantam Books,Fiction,"A secret Arctic experiment turns into a frozen nightmare when a team of scientists, stranded on a drifting iceberg with a massive explosive charge, battles the elements for survival, only to discover that one of them is a murderer. Reissue."
17,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket,Fiction,A young news reporter on assignment at a large metropolitan hospital is horrified when she sees that a young Jane Doe whom paramedics have failed to save has a face identical to her own
18,0553582747,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books,Fiction,"Koontz looks heavenward for inspiration in his newest suspense thriller, which is chock-full of signs, portents, angels, and one somewhat second-rate devil, a murky and undercharacterized guy named Junior Cain who throws his beloved wife off a fire tower on an Oregon mountain and spends the rest of the novel waiting for the retribution that will surely come. But not before a series of tragedies ensues that convince Junior that someone or something named Bartholomew is out to exact vengeance for that crime and the series of other murders that follow. --- Amazon."
19,0425182908,Isle of Dogs,Patricia Cornwell,2002.0,Berkley Publishing Group,Fiction,"Angered over the governor's order on speed traps, the eccentric inhabitants of the Isle of Tangier, off the coast of Virginia, declare war on their own state, and it is up to Judy Hammer, the new superintendent of the state police, to stop the crisis."
20,042518630X,Purity in Death,J.D. Robb,2002.0,Berkley Publishing Group,Fiction,Eve Dallas must face the impossible: someone has unleashed a computer virus that may be able to spread from machine to man.
21,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997.0,Dell,Fiction,"Presents an anthology of Christmas stories reflecting on the various ways in which the holidays serve as a catalyst to promote change, growth, and new beginnings"
22,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000.0,Tyndale House Publishers,,
23,0440225701,The Street Lawyer,JOHN GRISHAM,1999.0,Dell,Fiction,"After a violent encounter with a homeless man, talented corporate lawyer Michael finds himself out in the streets, lucky to be alive, and holding a top-secret file belonging to his former employers"
24,0380715899,A Soldier of the Great War,Mark Helprin,1992.0,Avon Books,Fiction,"Encountering a younger man on a road in Italy, seventy-something professor Alessandro Guiliani recounts his experiences, spinning a tale of love, loss, tragedy, madmen, dwarves, and mafiosi. Reprint."
25,0671623249,LONESOME DOVE,Larry McMurtry,1986.0,Pocket,Fiction,"Presents a love story and an epic of the frontier, richly authentic that makes readers laugh, weep, dream and remember"
26,0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991.0,Laurel Leaf,Juvenile Fiction,"Shabanu, a young nomad of the Cholistan Desert, must submit to the marriage her father arranges for her, or go against centuries of tradition by defying him."
27,0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978.0,Ballantine Books,,
28,042511774X,Breathing Lessons,Anne Tyler,1994.0,Berkley Publishing Group,,
29,0804106304,The Joy Luck Club,Amy Tan,1994.0,Prentice Hall (K-12),Fiction,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughters' memories and feelings"
30,1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998.0,NTC/Contemporary Publishing Company,Fiction,"Introduction and Notes by Gene M. Moore, Universiteit van Amsterdam. Generally regarded as the pre-eminent work of Conrad's shorter fiction, Heart of Darkness is a chilling tale of horror which, as the author intended, is capable of many interpretations. Set in the Congo during the period of rapid colonial expansion in the 19th century, the story deals with the highly disturbing effects of economic, social and political exploitation of European and African societies and the cataclysmic behaviour this induced in some individuals. The other two stories in this book - Youth and The End of the Tether - concern the sea and those who sail upon it, a genre in which Conrad reigns supreme."
31,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997.0,NTC/Contemporary Publishing Company,Fiction,The story of a simple country girl whose family's pretentions lead to her destruction
32,0060938412,The Accidental Virgin,Valerie Frankel,2003.0,Avon Trade,Fiction,"From: Venus, Goddess of Love, 120 Main, Mt. Olympus To: Stacy Temple, lapsed temptress Stacy, Stacy, Stacy. You were so promising at the beginning: Sexy, smart, personable and funny. Great on dates and really great afterward-if you know what I mean. But this is a sad state of affairs; or, in your case, non-affairs! It's been nearly an entire year and you haven't had your way with even ONE eligible male. You've been working so hard concocting sexy lingerie for Thongs.com -- and really, Stacy, if that little pink velvet bustier didn't put you in the mood, I don't know what to say! -- that you haven't even tried to be coaxed out of your own thong.com! Are you listening, Stacy? Seven days to find the perfect man -- or else! Happy hunting!"
33,0140067477,The Tao of Pooh,Benjamin Hoff,1983.0,Penguin Books,Humor,"An expert in Chinese philosophy explains facets of Taoism using Milne's famous character and explores the world of Winnie-the-Pooh through Tao, characterizing Pooh as a simple bear who subscribes to the principles of successful living"
34,0345465083,Seabiscuit,LAURA HILLENBRAND,2003.0,Ballantine Books,,
35,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson,Conduct of life,
36,0441783589,Starship Troopers,Robert A. Heinlein,1987.0,Ace Books,Fiction,In a futuristic military adventure a recruit goes through the roughest boot camp in the universe and into battle with the Terran Mobile Infantry in what historians would come to call the First Interstellar War
37,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988.0,Laurel Leaf,Juvenile Fiction,"In nineteenth-century London, sixteen-year-old Sally, a recent orphan, becomes involved in a deadly search for a mysterious ruby."
38,0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000.0,Knopf,Fiction,A forensic pathologist returns to Sri Lanka--after 15 years abroad--to assist in identifying victims of the country's civil war
39,0340767936,Turning Thirty,Mike Gayle,2000.0,Hodder &amp; Stoughton General Division,Age groups,"Unlike most people Matt Beckford is actually looking forward to turning thirty. After struggling through most of his twenties he thinks his career, finances and love life are finally sorted. But when he splits up with his girlfriend, he realises that life has different plans for him. Unable to cope with his future falling apart Matt temporarily moves back to his parents. During his enforced exodus only his old school mates can keep him sane. Friends he hasn't seen since he was nineteen. Back together after a decade apart. But things will never be the same for any of them because when you're turning thirty nothing's as simple as it used to be."
40,0316769487,The Catcher in the Rye,J.D. Salinger,1991.0,"Little, Brown",Fiction,"Anyone who has read J.D. Salinger's New Yorker stories, particularly A Perfect Day for Bananafish, Uncle Wiggily in Connecticut, The Laughing Man, and For Esme--With Love and Squalor, will not be surprised by the fact that his first novel is full of children. The hero-narrator of THE CATCHER IN THE RYE is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices--but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep."
41,8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001.0,Minotauro,"Baggins, Frodo (Fictitious character)","En la adormecida e idílica Comarca, un joven hobbit recibe un encargo - custodiar el Anillo Único y emprender el viaje para su destrucción en las Grietas del Destino. Acompañado por magos, hombres, elfos y enanos, atravesará la Tierra Media y se internará en las sombras del País Oscuro, perseguido siempre por las huestes de Sauron, el Señor Oscuro, dispuesto a recuperar su creación para establecer el dominio definitivo del Mal."
42,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994.0,Random House,History,"In charming, beautiful, and wealthy old-South Savannah, Georgia, the local bad boy is shot dead inside of the opulent mansion of a gay antiques dealer, and a gripping trial follows"
43,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998.0,Pocket,Fiction,"Placed in the federal witness protection program after seeing a murder, Manhattan real-estate agent Lacey Farrell nevertheless must solve the case before she becomes the next victim"
44,0312252617,Fast Women,Jennifer Crusie,2001.0,St. Martin's Press,Fiction,"Following her divorce, Nell Dysart takes a job working for a detective agency and finds herself knee deep in embezzlement, bribery, blackmail, arson, adultery, murder, and passion with her boss, Gabe McKenna. 75,000 first printing."
45,0312261594,Female Intelligence,Jane Heller,2001.0,St. Martin's Press,,
46,0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002.0,Back Bay Books,,
47,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000.0,Warner Books,,
48,0451166892,The Pillars of the Earth,Ken Follett,1996.0,Signet Book,Fiction,"Set in twelfth-century England, this epic of kings and peasants juxtaposes the building of a magnificent church with the violence and treachery that often characterized the Middle Ages. Reissue."
49,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995.0,Vintage,Fiction,"The idyllic world of the Greek island of Cephallonia is forever changed by the inexorable changes of World War II, as the inhabitants struggle to cope with the Axis invasion and occupation"
50,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003.0,Hyperion,Fiction,"Plot Eddie is a wounded war veteran, an old man who has lived, in his mind, an uninspired life. His job is fixing rides at a seaside amusement park. On his 83rd birthday, a tragic accident kills him, as he tries to save a little girl from a falling cart. He awakes in the afterlife, where he learns that heaven is not a destination. It's a place where your life is explained to you by five people, some of whom you knew, others who may have been strangers. One by one, from childhood to soldier to old age, Eddie's five people revisit their connections to him on earth, illuminating the mysteries of his ""meaningless"" life, and revealing the haunting secret behind the eternal question: ""Why was I here"" Personal Details Collection Status In Collection Index 10 Read It Yes Links Amazon US Product Details LoC Classification PS3601.L335F59 2003 Dewey 813/.6"
51,0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992.0,Star Trek,Fiction,"The starship Enterprise rescues Captain Montgomery Scott, who has been missing in space for seventy-five years and finds that the world has changed beyond his recognition"
52,0312953453,Blood Oath,David Morrell,1994.0,St. Martin's Press,Fiction,"Peter Houston's journey to France to visit the grave of his father, killed in 1944, becomes a nightmare of murder, revenge, deception, and betrayal"
53,0446608653,The Alibi,Sandra Brown,2000.0,Warner Books,Fiction,Assistant DA Hammond Cross has his sights set on the DA's office. Prosecuting a high-profile murder case practically ensures him the job. But a Saturday night encounter with a mysterious woman is the start of a living nightmare.
54,0446612545,The Beach House,James Patterson,2003.0,Warner Books,Fiction,"When Jack Mullen sets out to unravel the truth about his brother's drowning death, he confronts legal interference as he discovers that his brother had been making money catering to the sexual needs of East Hampton's wealthiest citizens."
55,0446612618,A Kiss Remembered,Sandra Brown,2003.0,Warner Books,,
56,0451208080,The Short Forever,Stuart Woods,2003.0,Signet Book,Fiction,"Arriving in London to find a young woman, who has been seen in the company of an unsavory gentleman, for a client, Stone Barrington stumbles upon a deadly rivalry between two spies and is implicated in a horrifying double murder."
57,0553584383,Dead Aim,IRIS JOHANSEN,2004.0,Bantam Books,,
58,0671027360,Angels &amp; Demons,Dan Brown,2001.0,Pocket Star,Fiction,"An ancient secret brotherhood. A devastating new weapon of destruction. An unthinkable target. ANGELS&amp;DEMONS World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. Desperate to save the Vatican from a powerful the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and the most secretive long-forgotten Illuminati lair. DEMONS."
59,0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004.0,Back Bay Books,Fiction,"""A marriage is always two intersecting stories."" This realization comes perhaps too late to the husband of Etna Bliss-a man whose obsession with his young wife begins at the moment of their first meeting, as he helps Etna and her companions escape from a fire in a hotel restaurant, and culminates in a marriage doomed by secrets and betrayal. Written with the intelligence and grace that are the hallmarks of Anita Shreve's bestselling novels, this gripping tale of desire, jealousy, and loss is peopled by unforgettable characters as real as the emotions that bring them together."
60,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002.0,Pocket,,
61,0380619458,The Mosquito Coast,Paul Theroux,1990.0,Harper Mass Market Paperbacks (Mm),Americans,An eccentric American inventor moves his family to the jungles of Central America in hopes of finding a better life
62,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000.0,Pocket,Fiction,"The acclaimed #1 New York Times and undisputed King of Horror Stephen King offers a frightening suspense novel about a young girl who becomes lost in the woods as night falls. On a six-mile hike on the Maine-New Hampshire branch of the Appalachian Trail, nine-year-old Trisha McFarland quickly tires of the constant bickering between her older brother, Pete, and her recently divorced mother. But when she wanders off by herself, and then tries to catch up by attempting a shortcut, she becomes lost in a wilderness maze full of peril and terror. As night falls, Trisha has only her ingenuity as a defense against the elements, and only her courage and faith to withstand her mounting fears. For solace she tunes her Walkman to broadcasts of Boston Red Sox baseball games and follows the gritty performances of her hero, relief pitcher Tom Gordon. And when her radio’s reception begins to fade, Trisha imagines that Tom Gordon is with her—protecting her from an all-too-real enemy who has left a trail of slaughtered animals and mangled trees in the dense, dark woods…"
63,0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003.0,Free Press,Biography &amp; Autobiography,"Recounts the story of how a notorious gang of MIT blackjack savants devised and received backing for a system for winning at the world's most sophisticated casinos, an endeavor that earned them more than three million dollars. Reprint. 100,000 first printing."
64,0425184226,The Sum of All Fears,Tom Clancy,2002.0,Berkley Publishing Group,Fiction,"One terrible act plunges the world into an instant nuclear crisis, and with the American president accused of incompetence, Jack Ryan calls on FBI head Dan Murray to help him avert disaster."
65,0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999.0,Random House,,
66,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998.0,Perennial,Fiction,"Tells the story of the Buendia family, set against the background of the evolution and eventual decadence of a small South American town"
67,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996.0,Perennial,Fiction,"Don't miss Little Altars Everywhere, the New York Times bestselling companion novel that introduces the Ya-Yas and is also a basis for the film."
68,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992.0,HarperTorch,Fiction,Jim Chee is torn between his role as the prosecution's star witness against the man charged with killing his best friend and his own investigation of the crime. Reprint
69,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001.0,Pocket,Fiction,"A young woman probing into the mysterious circumstances of her husband's death receives a message from a medium claiming to be his channel in Mary Higgins Clark's #1 bestselling thriller, Before I Say Goodbye. When Nell MacDermott learns that her husband, architect Adam Cauliff, and three of his business associates have died in an explosion of his new cabin cruiser, she is not only devastated but wracked with guilt. The last time she saw Adam, they had a bitter quarrel over her plan to run for the congressional seat long held by her grandfather; she had told him not to come home. As the investigation into the boat's explosion proceeds, Nell learns that it was not an accident but a bomb. Despite her skepticism, Nell is swayed by her great-aunt Gert, a believer in psychic powers, to see a medium claiming to be Adam's channel. While trying to unravel the threads of Adam's past and his violent end, Nell consults the medium, who transmits messages to her with instructions from Adam. The story reaches a powerful climax in Nell's final encounter with the medium, in which she learns the truth about the explosion -- truth she can't be allowed to live and tell."
70,0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994.0,Warner Books,Fiction,"Restless loner and motorcycle rider Michael Tillman is unable to resist his powerful feelings for Jellie Braden, a free spirit trapped in a passionless marriage. By the author of The Bridges of Madison County. Reprint."
71,038572179X,Atonement : A Novel,IAN MCEWAN,2003.0,Anchor,Fiction,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event involving her sister Cecilia and her childhood friend Robbie Turner, and she becomes the victim of her own imagination, which leads her on a lifelong search for truth and absolution."
72,0345425294,Gangster,Lorenzo Carcaterra,2002.0,Fawcett Books,Fiction,"Fleeing his father and a shadowy past, Angelo Vestieri finds a second family in early twentieth-century New York's mob, where he encounters dangerous betrayals and an abandoned boy in need of a father figure."
73,0451410319,Hush,Anne Frasier,2002.0,Onyx Books,,
74,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002.0,Bantam Books,Fiction,"As a series of grisly murders terrorizes the small, backwoods town of Silence, Nell Gallagher, a young woman with special psychic gifts, holds the power to unravel the mystery, uncover the dark secrets that could destroy the town, and find a killer before it is too late. Original."
75,0380778556,Rebecca,Daphne Du Maurier,1994.0,Avon,Fiction,"""Last Night I Dreamt I Went To Manderley Again."" So the second Mrs. Maxim de Winter remembered the chilling events that led her down the turning drive past ther beeches, white and naked, to the isolated gray stone manse on the windswept Cornish coast. With a husband she barely knew, the young bride arrived at this immense estate, only to be inexorably drawn into the life of the first Mrs. de Winter, the beautiful Rebecca, dead but never forgotten...her suite of rooms never touched, her clothes ready to be worn, her servant -- the sinister Mrs. Danvers -- still loyal. And as an eerie presentiment of evil tightened around her heart, the second Mrs. de Winter began her search for the real fate of Rebecca...for the secrets of Manderley."
76,0451525221,Scarlet Letter,Nathaniel Hawthorne,1993.0,Signet Book,,
77,0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003.0,Delta,Fiction,"Even though she is out of work and her apartment is too small, newlywed Amy Thomas Stewart finds herself longing to have a baby."
78,0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986.0,Laure Leaf,Juvenile Fiction,"When Nore Robbins visits her new stepmother, brother, and sister in Louisiana, she is unnerved by the feeling of evil and eerie threats that pervades the plantation. Reissue."
79,0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002.0,Tor Fantasy,Fiction,"Firekeeper only vaguely remembers a time when she didn't live with her ""family,"" a pack of ""royal wolves""-bigger, stronger, and smarter than normal wolves. Now her pack leaders are sending her back to live among the humans, as they promised her mother years ago. Some of the humans think she may be the lost heir to their throne. This could be good-and it could be very, very dangerous. In the months to come, learning to behave like a human will turn out to be more complicated than she'd ever imagined. But though human ways might be stranger than anything found in the forest, the infighting in the human's pack is nothing Firekeeper hasn't seen before. That, she understands just fine. She's not your standard-issue princess-and this is not your standard-issue fairy tale."
80,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995.0,Warner Books,Fiction,"The author of the blockbuster The Bridges of Madison County blends passion and adventure in the story of an American novelist in Mexico and his young lover, who take a trip with a killer."
81,0060801263,Tree Grows In Brooklyn,Betty Smith,1988.0,Harpercollins Publisher,"Brooklyn (New York, N.Y.)","The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience."
82,0446527165,Wish You Well,David Baldacci,2000.0,Warner Books,Fiction,"Following a family tragedy, siblings Lou and Oz must leave New York and adjust to life in the Virginia mountains--but just as the farm begins to feel like home, they'll have to defend it from a dark threat in this New York Times bestselling coming-of-age story. Precocious twelve-year-old Louisa Mae Cardinal lives in the hectic New York City of 1940 with her family. Then tragedy strikes--and Lou and her younger brother, Oz, must go with their invalid mother to live on their great-grandmother's farm in the Virginia mountains. Suddenly Lou finds herself growing up in a new landscape, making her first true friend, and experiencing adventures tragic, comic, and audacious. When a dark, destructive force encroaches on her new home, her struggle will play out in a crowded Virginia courtroom...and determine the future of two children, an entire town, and the mountains they love."
83,0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982.0,Pocket,Humorous stories,"After Earth is demolished to make way for a new hyperspatial expressway, Arthur Dent begins to hitch-hike through space."
84,0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003.0,Delta,FICTION,"Kate Morrison, orphaned at the age of seven, grows up seeing her brilliant older brother Matt's failure to further his education as a tragedy, and feeling somewhat guilty about her own accomplishments, and it is not until years later that she finally sees the damage her faulty thinking has caused."
85,039575514X,My Antonia,Willa Cather,1995.0,Mariner Books,Fiction,"The reminiscences of a New York lawyer, Jim Burden, about his boyhood in Nebraska, particularly a young Bohemian girl named Antonia Shimerda, are set against the backdrop of the American assimilation of immigrants. Reader's Guide available. Reissue."
86,0451206673,Pen Pals,Olivia Goldsmith,2002.0,Signet Book,Fiction,"When Jennifer agrees to take the rap for her boss, who has been wreaking havoc on the SEC, she finds herself in Jennings Correctional Facility for Women where she encounters a fiesty group of smart, tough women who change her life."
87,0330332775,Bridget Jones's Diary,Helen Fielding,1997.0,Picador (UK),Diary fiction,"Bridget Jones's Diary was first published in 1996 and applauded by critics from Salman Rushdie to Jilly Cooper. A number one best-seller, Helen Fielding's book has sold over fifteen million copies worldwide and has been turned into an Academy Award-nominated film starring Renee Zellweger, Colin Firth and Hugh Grant. Bridget Jones's Diary is followed by Bridget Jones: The Edge of Reason and Bridget Jones: Mad About the Boy. Bridget Jones is everyone's favourite spinster. In Bridget Jones's Diary she documents her struggles through the social minefield of her 30s and tries to weigh up the eternal question: Daniel Cleaver of Mark Darcy? She is supported through the whole process by four indispensable friends, Shazzer, Jude, Tom and a bottle of chardonnay. A dazzling urban satire of modern relationships? An ironic, tragic insight into the demise of the nuclear family? Or the confused ramblings of a pissed thirty-something?"
88,0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995.0,Dover Publications,Fiction,"In early nineteenth-century England, a spirited young woman copes with the suit of a snobbish gentleman, as well as the romantic entanglements of her four sisters."
89,0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994.0,Putnam Pub Group,,
90,0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990.0,Del Rey Books,Fiction,"Mare Imbri, a deliverer of bad dreams, is made partially real so that she can warn King Trent of Xanth about the coming invasion"
91,0553278223,The Martian Chronicles,RAY BRADBURY,1984.0,Spectra,Interplanetary voyages,
